SLURM_JOBID=71772
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.373824, worked 3359940, iter 5, rank 8
Local work time: 3.457967, worked 3446160, iter 5, rank 4
Local work time: 3.823238, worked 3810660, iter 5, rank 7
Local work time: 3.841993, worked 3831160, iter 5, rank 5
Local work time: 4.008510, worked 3997740, iter 5, rank 6
Local work time: 1.351027, worked 1324800, iter 6, rank 15
Local work time: 1.356293, worked 1332920, iter 6, rank 0
Local work time: 1.440204, worked 1416800, iter 6, rank 1
Local work time: 1.444005, worked 1419760, iter 6, rank 14
Local work time: 1.720360, worked 1700540, iter 6, rank 13
Local work time: 1.733927, worked 1713700, iter 6, rank 2
Local work time: 2.167413, worked 2150480, iter 6, rank 3
Local work time: 2.187642, worked 2169620, iter 6, rank 12
Local work time: 2.655678, worked 2641080, iter 6, rank 4
Local work time: 2.667039, worked 2651240, iter 6, rank 11
Local work time: 3.165254, worked 3151360, iter 6, rank 10
Local work time: 3.172360, worked 3158120, iter 6, rank 5
Local work time: 3.598426, worked 3587160, iter 6, rank 6
Local work time: 3.651307, worked 3639820, iter 6, rank 9
Local work time: 3.963562, worked 3952280, iter 6, rank 7
Local work time: 4.001833, worked 3990320, iter 6, rank 8
Local work time: 1.346503, worked 1323280, iter 7, rank 1
Local work time: 1.356063, worked 1332060, iter 7, rank 2
Local work time: 1.432219, worked 1408980, iter 7, rank 0
Local work time: 1.580089, worked 1558840, iter 7, rank 3
Local work time: 1.607021, worked 1579880, iter 7, rank 15
Local work time: 1.892407, worked 1873640, iter 7, rank 4
Local work time: 2.024581, worked 2001700, iter 7, rank 14
Local work time: 2.340942, worked 2325900, iter 7, rank 5
Local work time: 2.458026, worked 2440440, iter 7, rank 13
Local work time: 2.836072, worked 2823140, iter 7, rank 6
Local work time: 2.961757, worked 2947900, iter 7, rank 12
Local work time: 3.383745, worked 3370700, iter 7, rank 7
Local work time: 3.437281, worked 3423220, iter 7, rank 11
Local work time: 3.770510, worked 3759280, iter 7, rank 8
Local work time: 3.829077, worked 3817180, iter 7, rank 10
Local work time: 4.023879, worked 4013860, iter 7, rank 9
Local work time: 1.355009, worked 1333000, iter 8, rank 2
Local work time: 1.373570, worked 1349360, iter 8, rank 3
Local work time: 1.436879, worked 1412980, iter 8, rank 4
Local work time: 1.507716, worked 1485840, iter 8, rank 1
Local work time: 1.648972, worked 1629540, iter 8, rank 5
Local work time: 1.842247, worked 1823020, iter 8, rank 0
Local work time: 2.078028, worked 2061240, iter 8, rank 6
Local work time: 2.244029, worked 2217240, iter 8, rank 15
Local work time: 2.549896, worked 2535480, iter 8, rank 7
Local work time: 2.767287, worked 2744040, iter 8, rank 14
Local work time: 3.058257, worked 3045160, iter 8, rank 8
Local work time: 3.262210, worked 3248640, iter 8, rank 13
Local work time: 3.545451, worked 3533240, iter 8, rank 9
Local work time: 3.683177, worked 3671440, iter 8, rank 12
Local work time: 3.914944, worked 3903280, iter 8, rank 10
Local work time: 4.018694, worked 4006500, iter 8, rank 11
Local work time: 1.349195, worked 1325460, iter 9, rank 4
Local work time: 1.392765, worked 1369800, iter 9, rank 5
Local work time: 1.396726, worked 1373320, iter 9, rank 3
Local work time: 1.494831, worked 1473320, iter 9, rank 6
Local work time: 1.675305, worked 1653760, iter 9, rank 2
Local work time: 1.789160, worked 1771260, iter 9, rank 7
Local work time: 2.060272, worked 2041400, iter 9, rank 1
Local work time: 2.281724, worked 2265260, iter 9, rank 8
Local work time: 2.554545, worked 2538560, iter 9, rank 0
Local work time: 2.776822, worked 2764440, iter 9, rank 9
Local work time: 3.066878, worked 3039560, iter 9, rank 15
Local work time: 3.296769, worked 3283960, iter 9, rank 10
Local work time: 3.570385, worked 3545960, iter 9, rank 14
Local work time: 3.687952, worked 3676240, iter 9, rank 11
Local work time: 3.890288, worked 3878380, iter 9, rank 13
